ons_id,party_name,firstname,surname,votes,share,change
E14000975,Conservative,Bill,Cash,25733,0.547149752,0.041316472
E14000975,Labour,Sam,Hale,9483,0.201632965,-0.005231461
E14000975,UK Independence Party,Andrew,Illsley,7620,0.162020795,0.109489511
E14000975,Liberal Democrat,Martin,Lewis,2473,0.052582339,-0.171813689
E14000975,Green,Wenslie,Naylon,1191,0.025323723,0.014948741
E14000975,Independent,John,Coutouvidis,531,0.011290425,
E14000976,Conservative,Margot,James,21195,0.460470573,0.033807576
E14000976,Labour,Pete,Lowe,14501,0.315040518,-0.002294453
E14000976,UK Independence Party,Jim,Carver,7774,0.168893524,0.124370511
E14000976,Liberal Democrat,Christopher,Bramall,1538,0.033413717,-0.130303097
E14000976,Green,Christian,Kiever,1021,0.022181668,0.013840219
N06000016,Democratic Unionist Party,Jim,Shannon,15053,0.443727155,-0.015463739
N06000016,Ulster Unionist Party,Robert,Burgess,4868,0.143497229,
N06000016,Alliance,Kellie,Armstrong,4687,0.138161773,0.051159774
N06000016,Social Democratic and Labour Party,Joe,Boyle,2335,0.068830327,0.002255953
N06000016,UK Independence Party,Joe,Jordan,2237,0.065941516,
N06000016,Conservative,Johnny,Andrews,2167,0.06387808,
N06000016,Traditional Unionist Voice,Stephen,Cooper,1701,0.050141493,-0.005665306
N06000016,Sinn Fein,Sheila,Bailie,876,0.025822427,-0.009895155
E14000977,Conservative,Nadhim,Zahawi,29674,0.576653258,0.061200763
E14000977,UK Independence Party,Edward,Fila,6798,0.132105171,0.095581092
E14000977,Labour,Jeff,Kenner,6677,0.129753785,0.034605195
E14000977,Liberal Democrat,Elizabeth,Adams,6182,0.120134476,-0.170831453
E14000977,Green,Dominic,Giles,2128,0.04135331,0.030926339
E14000978,Labour,Chuka,Umunna,26474,0.530190455,0.10238765
E14000978,Conservative,Kim,Caddy,12540,0.251136523,0.067990719
E14000978,Liberal Democrat,Amna,Ahmad,4491,0.08994052,-0.268280544
E14000978,Green,Jonathan,Bartley,4421,0.088538642,0.070155739
E14000978,UK Independence Party,Bruce,Machan,1602,0.032082991,
E14000978,Cannabis is Safer than Alcohol Party,Artificial,Beast,192,0.003845153,
E14000978,Trade Unionist and Socialist Coalition,Rohman,Mirza,164,0.003284401,
E14000978,Workers Revolutionary Party,Deon,Gayle,49,0.000981315,-0.00151671
E14000979,Labour,Kate,Green,24601,0.530353986,0.044471109
E14000979,Conservative,Lisa,Cooke,12916,0.278446083,-0.008483332
E14000979,UK Independence Party,Kalvin,Chapman,5068,0.109257103,0.075678836
E14000979,Green,Geraldine,Coggins,2187,0.047147846,0.026751498
E14000979,Liberal Democrat,Louise,Ankers,1362,0.029362308,-0.139887303
E14000979,The Whig Party,Paul,Bradley-Law,169,0.003643341,
E14000979,Population Party UK,Paul,Carson,83,0.001789333,
E14000980,Conservative,Neil,Carmichael,27813,0.457307749,0.048858989
E14000980,Labour and Co-operative,David,Drew,22947,0.377299857,-0.008741921
E14000980,UK Independence Party,Caroline,Stephens,4848,0.079711932,0.057270451
E14000980,Green,Sarah,Lunnon,2779,0.045692958,0.019094369
E14000980,Liberal Democrat,Adrian,Walker-Smith,2086,0.034298492,-0.120169967
E14000980,Independent,Rich,Wilson,246,0.004044789,
E14000980,Free Public Transport Party,David,Michael,100,0.001644223,
E14000981,Conservative,Therese,Coffey,28855,0.519030831,0.054946157
E14000981,Labour,Russell,Whiting,10013,0.180109364,0.019578878
E14000981,UK Independence Party,Daryll,Pitcher,8655,0.155682268,0.098188598
E14000981,Liberal Democrat,James,Sandbach,4777,0.085926539,-0.211870995
E14000981,Green,Rachel,Smith-Lyte,3294,0.059250998,0.039157362
E14000982,Labour,Julie,Elliott,20959,0.501867727,0.042762152
E14000982,Conservative,Jeffrey,Townsend,9780,0.234184187,-0.066548216
E14000982,UK Independence Party,Bryan,Foster,7997,0.191489871,0.165726265
